grid.id	species	interview.1	interview.2	interview.3	interview4	high.no1	high.no2	high.no3	high.no4	freq.months	interview.id.1	interview.id.2	interview.id.3	interview.id.4	det.hist
878	RNH	0	0	0	NA	NA	NA	NA	NA	NA	LY.O.11	LY.O.12	LY.O.2	NA	000
936	GH	0	0	2	NA	NA	NA	NA	NA	NA	LY.O.11	LY.O.12	LY.O.2	NA	002
936	WH	0	0	0	NA	NA	NA	NA	NA	NA	LY.O.11	LY.O.12	LY.O.2	NA	000
936	OPH	0	0	0	NA	NA	NA	NA	NA	NA	LY.O.11	LY.O.12	LY.O.2	NA	000
936	RNH	2	2	0	NA	NA	5	NA	NA	8,9	LY.O.11	LY.O.12	LY.O.2	NA	220
981	GH	0	0	0	NA	NA	NA	NA	NA	NA	ST.O.11	ST.O.12	ST.O.13	NA	000
981	WH	0	0	0	NA	NA	NA	NA	NA	NA	ST.O.11	ST.O.12	ST.O.13	NA	000
981	OPH	0	0	0	NA	NA	NA	NA	NA	NA	ST.O.11	ST.O.12	ST.O.13	NA	000
981	RNH	0	0	0	NA	NA	NA	NA	NA	NA	ST.O.11	ST.O.12	ST.O.13	NA	000
982	GH	0	0	0	NA	NA	NA	NA	NA	NA	ST.O.11	ST.O.12	ST.O.13	NA	000
982	WH	0	0	0	NA	NA	NA	NA	NA	NA	ST.O.11	ST.O.12	ST.O.13	NA	000
982	OPH	0	0	0	NA	NA	NA	NA	NA	NA	ST.O.11	ST.O.12	ST.O.13	NA	000
